Date,Channel,MKTer,Chiến dịch,Chi phí Marketing,Impression,Reach,Click,Share,Cmt,Inbox,Lead MKT,Đơn hàng,Doanh thu,Paid Revenue 1,Giá Lead,Đơn/Lead,CPM,CPC,"Giá Mess
(Cmt + Inbox)",ME1 (ME đã bao gồm thuế + phí),ROAS
2020-07-06,FB,GiangPhan,CVS,4275846,47025,42100.0,214,2,13,0,23,19.73913043478261,10327130.43478261,6986000,185906.34782608695,0.8582230623818525,90927.08133971291,19980.58878504673,328911.23076923075,4617913.680000001,2.4152250653514202
2020-07-06,FB,TungTran,CVS,371806,3796,3172.0,16,1,0,0,1,1.0,499000.0,499000,371806.0,1.0,97946.78609062171,23237.875,0.0,401550.48000000004,1.3420977606601292
2020-07-06,Google,TienTran,Search,306451,5277,0.0,160,0,0,0,6,2.9565217391304346,1475304.347826087,998000,51075.166666666664,0.49275362318840576,58072.95812014402,1915.31875,0.0,306451.0,4.8141606580696
2020-07-06,Google,TienTran,Discovery,272366,12856,0.0,498,0,0,0,3,3.0,1497000.0,1497000,90788.66666666667,1.0,21185.905413814562,546.9196787148594,0.0,272366.0,5.49628073988677
2020-07-06,Google,TienTran,PerMax,120205,3392,0.0,39,0,0,0,2,2.0,998000.0,998000,60102.5,1.0,35437.79481132075,3082.1794871794873,0.0,120205.0,8.30248325776798
2020-07-06,Google,TienTran,Guu-PerMax,174051,5785,0.0,56,0,0,0,2,2.0,998000.0,998000,87025.5,1.0,30086.603284356093,3108.0535714285716,0.0,174051.0,5.733951542938564
2020-07-07,FB,NgocNgo,CVS,3610409,9011,8409.0,40,0,5,0,53,35.73913043478261,18788434.782608695,14970000,68120.92452830188,0.6743232157506153,400666.8516257907,90260.225,722081.8,3899241.72,5.203962981094024
2020-07-07,FB,GiangPhan,CVS,4650902,48133,41933.0,356,12,29,0,40,32.82608695652174,17137521.739130434,14751000,116272.55,0.8206521739130436,96626.05696715352,13064.331460674157,160375.93103448275,5022974.16,3.6847737791788417
2020-07-07,FB,AnhTrinh,CVS,190101,1466,1379.0,2,0,0,0,1,1.0,499000.0,499000,190101.0,1.0,129673.26057298771,95050.5,0.0,205309.08000000002,2.6249204370308417
2020-07-07,FB,ThuHoang,CVS,174919,2797,2155.0,15,0,0,0,2,2.0,998000.0,998000,87459.5,1.0,62538.07651054701,11661.266666666666,0.0,188912.52000000002,5.705497973347664
2020-07-07,Google,TienTran,Discovery,297963,13663,0.0,511,0,0,0,1,0.9565217391304348,477304.347826087,0,297963.0,0.9565217391304348,21808.02166434897,583.0978473581214,0.0,297963.0,1.6018913349177146
2020-07-07,Google,TienTran,PerMax,138999,7545,0.0,152,0,0,0,1,1.0,499000.0,499000,138999.0,1.0,18422.664015904575,914.4671052631579,0.0,138999.0,3.5899538845603205
2020-07-08,FB,NgocNgo,CVS,1827395,29979,27550.0,183,3,1,0,70,58.65217391304348,29744739.13043478,25449000,26105.64285714286,0.837888198757764,60955.83575169285,9985.765027322404,1827395.0,1973586.6,16.277126253729918
2020-07-08,FB,GiangPhan,CVS,5206381,69630,60170.0,423,19,32,0,44,30.73913043478261,15338826.086956521,12475000,118326.84090909091,0.6986166007905138,74772.09536119488,12308.229314420803,162699.40625,5622891.48,2.9461589704934235
2020-07-08,FB,AnhTrinh,CVS,296700,4181,3914.0,23,0,0,0,1,1.0,499000.0,499000,296700.0,1.0,70963.88423822052,12900.0,0.0,320436.0,1.6818335018537243
2020-07-08,FB,ThuHoang,CVS,352052,7354,6792.0,36,0,0,0,1,1.0,499000.0,499000,352052.0,1.0,47872.1784063095,9779.222222222223,0.0,380216.16000000003,1.4174042470998602
2020-07-08,Google,TienTran,Search,223997,3743,0.0,122,0,0,0,4,3.0,1497000.0,1497000,55999.25,0.75,59844.24258616083,1836.0409836065573,0.0,223997.0,6.683125220427059
